cod_localidad,id_provincia,id_departamento,Observaciones,categoría,subcategoria,provincia,localidad,nombre,domicilio,piso,código postal,cod_area,número de teléfono,mail,web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
6588100,6,6588,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,s/d,B6500EVL,2317.0,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,-35.441762,-60.887598,Localización precisa,s/d,DNPyM,Municipal,1920,2017
6077010,6,6077,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,s/d,B2740FMJ,2478.0,452 931,museoarrecifes@hotmail.com,s/d,-34.06697,-60.102555,Localización precisa,s/d,DNPyM,Municipal,1972,2017
6035010,6,6035,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,s/d,S3561AKT,3482.0,481 200,s/d,s/d,-29.118024,-59.654543,Localización precisa,s/d,DNPyM,Municipal,s/d,2017
6035010,6,6035,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",s/d,B1870CBC,11.0,4205 9567,s/d,s/d,-34.66211,-58.36327,Localización precisa,s/d,DNPyM,Municipal,1956,2017
6049020,6,6049,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,s/d,B7300XAA,2281.0,434 811,museoazul@yahoo.com,s/d,-36.781824,-59.858636,Localización precisa,s/d,DNPyM,Privada,1949,2017
6056010,6,6056,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,s/d,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,s/d,-38.7131,-62.2622,Localización precisa,s/d,DNPyM,Municipal,1935,2017
6056010,6,6056,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,s/d,B8003APV,291.0,488 3266,s/d,s/d,-38.6928,-62.3087,Localización precisa,s/d,DNPyM,Municipal,1996,2017
6056010,6,6056,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,s/d,B8000DKA,291.0,451 0675,s/d,s/d,-38.724527,-62.273735,Localización precisa,s/d,DNPyM,Privada,2006,2017
6056010,6,6056,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,s/d,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,s/d,-38.7131,-62.2622,Localización precisa,s/d,DNPyM,Municipal,2008,2017
6056010,6,6056,s/d,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,s/d,B8000FLD,291.0,456 3117,s/d,s/d,-38.7152,-62.2603,Localización precisa,s/d,DNPyM,Municipal,1951,2017
