provincia,Pantallas,Butacas,espacio_INCAA
Buenos Aires,358,93112,106
Catamarca,12,3200,4
Chaco,14,2469,4
Chubut,10,2682,9
Ciudad Autónoma de Buenos Aires,153,31386,35
Corrientes,17,3370,8
Córdoba,105,20799,35
Entre Ríos,17,4086,13
Formosa,4,1184,2
Jujuy,5,2277,4
La Pampa,6,2071,6
La Rioja,10,1477,5
Mendoza,47,11116,16
Misiones,10,2177,6
Neuquén,12,3959,5
Río Negro,10,2474,7
Salta,23,4665,10
San Juan,22,4617,6
San Luis,12,2601,4
Santa Cruz,7,1256,5
Santa Fe,79,20131,23
Santiago del Estero,11,2928,5
Tierra del Fuego,6,1445,3
Tucumán,24,5161,8
